Temperature,Humidity,Pressure,PM1,PM2.5,PM10,Time
21.65,48.25,1003.46,3,5,6,1630719312.2601197
21.65,48.11,1003.43,3,5,6,1630719312.3890643
21.66,48.25,1003.44,3,5,6,1630719313.5181375
21.66,48.29,1003.43,3,5,6,1630719314.6471484
21.65,48.1,1003.44,3,5,6,1630719315.7738395
21.66,48.22,1003.43,3,5,6,1630719316.8997731
21.66,48.32,1003.45,3,5,6,1630719318.0266957
21.66,48.31,1003.45,3,5,6,1630719319.1528556
21.64,48.03,1003.42,3,5,6,1630719320.2791173
21.66,48.13,1003.42,3,5,6,1630719321.4058948
21.65,48.17,1003.47,3,5,6,1630719322.5320177
21.65,48.1,1003.45,3,5,6,1630719323.658261
21.65,48.18,1003.43,3,5,6,1630719324.7851176
21.65,48.09,1003.43,3,5,6,1630719325.9139578
21.65,48.23,1003.44,3,5,6,1630719327.0428925
21.64,48.16,1003.44,3,5,6,1630719328.1720674
21.64,48.3,1003.4,3,5,6,1630719329.301695
21.64,48.38,1003.44,3,5,6,1630719330.4314637
21.64,48.32,1003.44,3,5,6,1630719331.5573363
21.65,48.19,1003.42,3,5,6,1630719332.6832702
21.64,48.22,1003.41,3,5,6,1630719333.8102996
21.64,47.95,1003.39,3,5,6,1630719334.9364574
21.66,48.03,1003.42,3,5,6,1630719336.062765
21.64,48.09,1003.42,3,5,6,1630719337.1890485
21.64,47.98,1003.43,3,5,6,1630719338.3159773
21.64,48.3,1003.46,3,5,6,1630719339.4441183
21.66,48.34,1003.44,3,5,6,1630719340.5707893
21.64,48.28,1003.39,3,5,6,1630719341.697033
21.64,48.29,1003.43,3,5,6,1630719342.8240626
21.64,48.32,1003.41,3,5,6,1630719343.9504864
21.64,48.29,1003.45,3,5,6,1630719345.0769417
21.64,48.24,1003.46,3,5,6,1630719346.2032714
21.64,48.16,1003.41,3,5,6,1630719347.3305132
21.65,48.21,1003.46,3,5,6,1630719348.4565897
21.65,48.28,1003.45,3,5,6,1630719349.582764
21.65,48.31,1003.42,3,5,6,1630719350.7089753
21.64,48.13,1003.41,3,5,6,1630719351.835878
21.65,48.02,1003.4,3,5,6,1630719352.9622498
21.64,48.19,1003.4,3,5,6,1630719354.0881984
21.64,48.14,1003.38,3,5,6,1630719355.2172058
21.65,48.25,1003.4,3,5,6,1630719356.345325
21.65,48.1,1003.44,3,5,6,1630719357.4703662
21.64,48.28,1003.43,3,5,6,1630719358.5994165
21.64,48.26,1003.37,3,5,6,1630719359.729171
21.62,48.12,1003.42,3,5,6,1630719360.8552513
21.64,48.09,1003.43,3,5,6,1630719361.9816718
21.62,48.23,1003.41,3,5,6,1630719363.1085136
21.64,48.25,1003.41,3,5,6,1630719364.2352972
21.64,48.19,1003.41,3,5,6,1630719365.3612978
21.64,48.17,1003.42,3,5,6,1630719366.4875135
21.63,48.24,1003.44,3,5,6,1630719367.613924
21.64,48.22,1003.44,3,5,6,1630719368.7412152
21.63,48.0,1003.41,3,5,6,1630719369.873353
21.62,48.07,1003.42,3,5,6,1630719371.002515
21.64,48.12,1003.43,3,5,6,1630719372.1315167
21.62,48.14,1003.4,3,5,6,1630719373.257569
21.63,48.14,1003.43,3,5,6,1630719374.3866622
21.62,48.19,1003.42,3,5,6,1630719375.5133185
21.62,48.1,1003.44,3,5,6,1630719376.6393995
21.62,48.08,1003.41,3,5,6,1630719377.7664337
21.63,47.98,1003.42,3,5,6,1630719378.8929448
21.63,48.22,1003.41,3,5,6,1630719380.0193846
21.64,48.2,1003.4,3,5,6,1630719381.1459944
21.62,48.1,1003.41,3,5,6,1630719382.2725222
21.65,48.14,1003.44,3,5,6,1630719383.3992448
21.62,48.09,1003.43,3,5,6,1630719384.5257277
21.63,48.08,1003.41,3,5,6,1630719385.6522346
21.64,48.03,1003.42,3,5,6,1630719386.7794693
21.64,47.97,1003.4,3,5,6,1630719387.911435
21.63,48.06,1003.44,3,5,6,1630719389.0374537
21.64,48.01,1003.43,3,5,6,1630719390.1634622
21.64,48.1,1003.42,3,5,6,1630719391.2895167
21.65,47.97,1003.39,3,5,6,1630719392.4186966
21.64,48.04,1003.45,3,5,6,1630719393.5477414
21.63,48.02,1003.43,3,5,6,1630719394.676728
21.64,47.87,1003.41,3,5,6,1630719395.8035038
21.65,47.74,1003.4,3,5,6,1630719396.9296257
21.64,48.14,1003.4,3,5,6,1630719398.058952
21.63,47.98,1003.4,3,5,6,1630719399.191004
21.64,48.17,1003.45,3,5,6,1630719400.3192904
21.64,47.95,1003.42,3,5,6,1630719401.4484882
21.64,48.0,1003.42,3,5,6,1630719402.5773697
21.64,47.87,1003.41,3,5,6,1630719403.7063956
21.64,48.04,1003.41,3,5,6,1630719404.832748
21.65,48.05,1003.42,3,5,6,1630719405.958884
21.64,48.0,1003.39,3,5,6,1630719407.0848722
21.65,48.06,1003.41,3,5,6,1630719408.2139778
21.65,48.12,1003.41,3,5,6,1630719409.34222
21.64,47.99,1003.41,3,5,6,1630719410.4692004
21.64,48.1,1003.42,3,5,6,1630719411.5958004
21.65,47.98,1003.42,3,5,6,1630719412.7224114
21.65,48.13,1003.4,3,5,6,1630719413.8491743
21.65,48.01,1003.43,3,5,6,1630719414.975661
21.65,47.98,1003.42,3,5,6,1630719416.1021378
21.65,48.13,1003.42,3,5,6,1630719417.2285051
21.65,47.98,1003.41,3,5,6,1630719418.3549118
21.65,48.18,1003.42,3,5,6,1630719419.4808283
21.65,47.92,1003.42,3,5,6,1630719420.6074455
21.65,48.12,1003.4,3,5,6,1630719421.7351155
21.65,48.13,1003.4,3,5,6,1630719422.864114
21.64,48.1,1003.41,3,5,6,1630719423.996314
21.65,48.2,1003.4,3,5,6,1630719425.1251473
21.64,48.09,1003.41,3,5,6,1630719426.2511332
21.65,48.18,1003.42,3,5,6,1630719427.3802123
21.64,48.12,1003.41,3,5,6,1630719428.506388
21.65,48.25,1003.39,3,5,6,1630719429.640809
21.65,48.03,1003.43,3,5,6,1630719430.7672284
21.66,48.13,1003.42,3,5,6,1630719431.896311
21.65,47.98,1003.41,3,5,6,1630719433.022475
21.64,48.2,1003.4,3,5,6,1630719434.1515465
21.64,48.22,1003.41,3,5,6,1630719435.280633
21.65,48.07,1003.37,3,5,6,1630719436.4099934
21.64,48.08,1003.39,3,5,6,1630719437.538932
21.63,48.24,1003.42,3,5,6,1630719438.6679633
21.64,48.23,1003.39,3,5,6,1630719439.794876
21.64,48.25,1003.4,3,5,6,1630719440.9212387
21.64,48.12,1003.39,3,5,6,1630719442.0474212
21.64,48.19,1003.42,3,5,6,1630719443.173875
21.64,47.95,1003.4,3,5,6,1630719444.3002274
21.65,48.12,1003.43,3,5,6,1630719445.4276404
21.64,48.08,1003.44,3,5,6,1630719446.5538826
21.65,48.03,1003.38,3,5,6,1630719447.6800263
21.65,47.98,1003.41,3,5,6,1630719448.8067415
21.63,48.0,1003.37,3,5,6,1630719449.933107
21.64,48.12,1003.38,3,5,6,1630719451.059512
21.64,48.1,1003.39,3,5,6,1630719452.1858938
21.63,48.14,1003.41,3,5,6,1630719453.3121378
21.64,48.1,1003.43,3,5,6,1630719454.4386172
21.63,48.18,1003.37,3,5,6,1630719455.5651295
21.62,48.22,1003.43,3,5,6,1630719456.6914492
21.62,48.09,1003.4,3,5,6,1630719457.8184779
21.62,48.23,1003.43,3,5,6,1630719458.9451067
21.62,48.1,1003.39,3,5,6,1630719460.0708501
21.62,48.31,1003.42,3,5,6,1630719461.1974356
21.62,48.05,1003.41,3,5,6,1630719462.3261397
21.62,48.15,1003.44,3,5,6,1630719463.452708
21.62,48.12,1003.42,3,5,6,1630719464.5791376
21.63,48.0,1003.47,3,5,6,1630719465.7055266
21.62,48.03,1003.42,3,5,6,1630719466.8323922
21.62,48.12,1003.43,3,5,6,1630719467.9602494
21.62,48.1,1003.42,3,5,6,1630719469.0893693
21.62,48.13,1003.42,3,5,6,1630719470.2215304
21.62,48.13,1003.44,3,5,6,1630719471.3497555
21.62,48.18,1003.41,3,5,6,1630719472.4762652
21.62,48.02,1003.41,3,5,6,1630719473.6052086
21.62,48.2,1003.4,3,5,6,1630719474.7325602
21.61,48.25,1003.41,3,5,6,1630719475.859221
21.62,48.11,1003.42,3,5,6,1630719476.9887078
21.61,48.11,1003.4,3,5,6,1630719478.1147673
21.61,48.31,1003.4,3,5,6,1630719479.2409346
21.6,48.35,1003.42,3,5,6,1630719480.3700783
21.61,48.29,1003.43,3,5,6,1630719481.4998071
21.62,48.26,1003.42,3,5,6,1630719482.6318896
21.61,48.39,1003.4,3,5,6,1630719483.758656
21.6,48.25,1003.4,3,5,6,1630719484.8877969
21.6,48.39,1003.43,3,5,6,1630719486.0140626
21.61,48.33,1003.42,3,5,6,1630719487.143413
21.6,48.35,1003.41,3,5,6,1630719488.2697477
21.6,48.2,1003.41,3,5,6,1630719489.3958592
21.6,48.28,1003.41,3,5,6,1630719490.5258799
21.6,48.22,1003.44,3,5,6,1630719491.6550174
21.59,48.28,1003.42,3,5,6,1630719492.7812586
21.6,48.29,1003.41,3,5,6,1630719493.9073303
21.61,48.28,1003.4,3,5,6,1630719495.0338814
21.6,48.31,1003.43,3,5,6,1630719496.162901
21.59,48.51,1003.4,3,5,6,1630719497.292052
21.6,48.23,1003.42,3,5,6,1630719498.4181142
21.6,48.37,1003.42,3,5,6,1630719499.5446713
21.59,48.34,1003.39,3,5,6,1630719500.6737115
21.6,48.5,1003.44,3,5,6,1630719501.8005373
21.59,48.28,1003.44,3,5,6,1630719502.9296303
21.6,48.53,1003.43,3,5,6,1630719504.0590532
21.6,48.54,1003.39,3,5,6,1630719505.1882045
21.6,48.41,1003.43,3,5,6,1630719506.3142545
21.61,48.37,1003.42,3,5,6,1630719507.446187
21.61,48.33,1003.41,3,5,6,1630719508.5758584
21.61,48.5,1003.44,3,5,6,1630719509.7039058
21.6,48.43,1003.41,3,5,6,1630719510.8332605
21.61,48.44,1003.44,3,5,6,1630719511.9594269
21.61,48.46,1003.45,3,5,6,1630719513.088932
21.59,48.59,1003.45,3,5,6,1630719514.214914
21.59,48.64,1003.44,3,5,6,1630719515.34138
21.6,48.6,1003.42,3,5,6,1630719516.4674778
21.6,48.47,1003.44,3,5,6,1630719517.596934
21.59,48.51,1003.44,3,5,6,1630719518.7228694
21.59,48.6,1003.46,3,5,6,1630719519.851988
21.58,48.5,1003.42,3,5,6,1630719520.9780145
21.59,48.52,1003.42,3,5,6,1630719522.1049674
21.59,48.68,1003.4,3,5,6,1630719523.2313926
21.59,48.46,1003.38,3,5,6,1630719524.3579948
21.59,48.64,1003.39,3,5,6,1630719525.4852903
21.6,48.46,1003.39,3,5,6,1630719526.6149573
21.6,48.3,1003.41,3,5,6,1630719527.741777
21.6,48.39,1003.44,3,5,6,1630719528.881612
21.59,48.28,1003.45,3,5,6,1630719530.0082948
21.59,48.37,1003.46,3,5,6,1630719531.1348362
21.6,48.27,1003.41,3,5,6,1630719532.261137
21.59,48.35,1003.42,3,5,6,1630719533.3899484
21.58,48.28,1003.45,3,5,6,1630719534.5162935
21.59,48.14,1003.42,3,5,6,1630719535.6426723
21.59,48.24,1003.47,3,5,6,1630719536.7705944
21.6,48.12,1003.45,3,5,6,1630719537.8972008
21.59,48.26,1003.44,3,5,6,1630719539.0237193
21.59,48.28,1003.42,3,5,6,1630719540.1503072
21.59,48.31,1003.42,3,5,6,1630719541.2767522
21.59,48.28,1003.44,3,5,6,1630719542.4064372
21.59,48.21,1003.39,3,5,6,1630719543.5336647
21.59,48.17,1003.42,3,5,6,1630719544.6601
21.58,48.2,1003.42,3,5,6,1630719545.7868447
21.58,48.11,1003.42,3,5,6,1630719546.9135473
21.6,48.06,1003.43,3,5,6,1630719548.0405867
21.59,48.26,1003.42,3,5,6,1630719549.1672523
21.58,48.23,1003.44,3,5,6,1630719550.293913
21.59,48.1,1003.42,3,5,6,1630719551.4205866
21.59,48.29,1003.46,3,5,6,1630719552.5479739
21.59,48.16,1003.44,3,5,6,1630719553.6745253
21.59,48.16,1003.41,3,5,6,1630719554.8017616
21.59,48.08,1003.42,3,5,6,1630719555.9281454
21.6,48.14,1003.45,3,5,6,1630719557.0543702
21.6,48.2,1003.41,3,5,6,1630719558.180811
21.6,48.08,1003.41,3,5,6,1630719559.309055
21.6,48.05,1003.41,3,5,6,1630719560.4353397
21.6,48.26,1003.42,3,5,6,1630719561.5617187
21.6,48.04,1003.45,3,5,6,1630719562.6880968
21.6,48.08,1003.44,3,5,6,1630719563.815038
21.59,48.1,1003.46,3,5,6,1630719564.9409587
21.6,48.21,1003.43,3,5,6,1630719566.0699713
21.6,48.19,1003.45,3,5,6,1630719567.1990016
21.6,47.98,1003.43,3,5,6,1630719568.3270833
21.6,48.19,1003.43,3,5,6,1630719569.4532092
21.6,48.09,1003.4,3,5,6,1630719570.5797951
21.6,48.19,1003.47,3,5,6,1630719571.70585
21.61,48.33,1003.43,3,5,6,1630719572.835232
21.6,48.25,1003.43,3,5,6,1630719573.9614017
21.61,48.23,1003.47,3,5,6,1630719575.0934694
21.6,48.3,1003.45,3,5,6,1630719576.219493
21.61,48.12,1003.42,3,5,6,1630719577.3486133
21.6,48.26,1003.43,3,5,6,1630719578.4775102
21.59,48.32,1003.44,3,5,6,1630719579.6100767
21.6,48.14,1003.43,3,5,6,1630719580.7362254
21.6,48.1,1003.46,3,5,6,1630719581.862614
21.6,48.14,1003.47,3,5,6,1630719582.9890625
21.6,48.23,1003.45,3,5,6,1630719584.1181262
21.61,48.07,1003.47,3,5,6,1630719585.247155
21.6,48.31,1003.45,3,5,6,1630719586.373246
21.6,48.16,1003.41,3,5,6,1630719587.5024583
21.59,48.32,1003.44,3,5,6,1630719588.6314616
21.6,48.33,1003.41,3,5,6,1630719589.7582414
21.59,48.1,1003.42,3,5,6,1630719590.8871841
21.6,48.15,1003.44,3,5,6,1630719592.0162807
21.59,48.05,1003.47,3,5,6,1630719593.1485114
21.6,48.04,1003.46,3,5,6,1630719594.2744563
21.6,48.11,1003.46,3,5,6,1630719595.4085531
21.59,48.12,1003.44,3,5,6,1630719596.5382047
21.59,48.17,1003.48,3,5,6,1630719597.6701255
21.6,48.05,1003.46,3,5,6,1630719598.796333
21.6,48.04,1003.46,3,5,6,1630719599.9278133
21.6,48.07,1003.48,3,5,6,1630719601.0570378
21.6,48.1,1003.43,3,5,6,1630719602.1861389
21.59,48.0,1003.46,3,5,6,1630719603.3121169
21.6,48.16,1003.43,3,5,6,1630719604.4411902
21.6,48.13,1003.49,3,5,6,1630719605.5686052
21.61,47.92,1003.43,3,5,6,1630719606.695208
21.6,47.96,1003.45,3,5,6,1630719607.8240428
21.6,48.1,1003.44,3,5,6,1630719608.9501963
21.59,48.07,1003.45,3,5,6,1630719610.0820615
21.61,48.16,1003.48,3,5,6,1630719611.2112534
