Temperature,Humidity,Pressure,PM1,PM2.5,PM10,Time
28.03,29.62,1002.73,7168,1280,1792,1630720293.984316
28.03,29.74,1002.74,7168,1280,1792,1630720474.311801
28.03,29.91,1002.74,7168,1280,1792,1630720475.444337
28.03,29.69,1002.73,7168,1280,1792,1630720476.5768063
28.03,29.47,1002.77,7168,1280,1792,1630720477.7092564
28.05,29.29,1002.75,7168,1280,1792,1630720478.8420374
28.04,29.42,1002.74,7168,1280,1792,1630720479.9712393
28.04,29.08,1002.75,7168,1280,1792,1630720481.1004946
28.04,29.03,1002.76,7168,1280,1792,1630720482.232799
28.05,29.03,1002.79,7168,1280,1792,1630720483.365413
28.04,29.09,1002.74,7168,1280,1792,1630720484.498074
28.06,29.08,1002.73,7168,1280,1792,1630720485.6333375
28.05,29.03,1002.73,7168,1280,1792,1630720486.7627823
28.06,29.6,1002.78,7168,1280,1792,1630720487.8950744
28.06,29.37,1002.76,7168,1280,1792,1630720489.030382
28.07,28.94,1002.78,7168,1280,1792,1630720490.165659
28.06,28.86,1002.77,7168,1280,1792,1630720491.3007996
28.06,29.08,1002.75,7168,1280,1792,1630720492.4338436
28.05,28.83,1002.76,7168,1280,1792,1630720493.5690956
28.07,28.85,1002.76,7168,1280,1792,1630720494.6987367
28.09,28.98,1002.77,7168,1280,1792,1630720495.8311393
28.1,28.76,1002.79,7168,1280,1792,1630720496.9604087
28.13,28.6,1002.78,7168,1280,1792,1630720498.0933342
28.24,28.72,1002.75,7168,1280,1792,1630720499.2256367
28.32,28.83,1002.8,7168,1280,1792,1630720500.3578382
28.36,28.56,1002.78,7168,1280,1792,1630720501.4854171
28.38,28.74,1002.77,7168,1280,1792,1630720502.6180432
28.38,28.99,1002.82,7168,1280,1792,1630720503.7475011
28.39,29.34,1002.79,7168,1280,1792,1630720504.8798802
28.4,29.11,1002.79,7168,1280,1792,1630720506.0122173
28.41,29.27,1002.8,7168,1280,1792,1630720507.1445467
28.43,29.06,1002.81,7168,1280,1792,1630720508.2800667
28.43,28.89,1002.8,7168,1280,1792,1630720509.4123836
28.43,28.74,1002.81,7168,1280,1792,1630720510.542852
28.41,28.38,1002.8,7168,1280,1792,1630720511.6751819
28.41,28.6,1002.8,7168,1280,1792,1630720512.8047225
28.4,28.56,1002.82,7168,1280,1792,1630720513.9351282
28.39,28.71,1002.8,7168,1280,1792,1630720515.067592
28.39,28.95,1002.77,7168,1280,1792,1630720516.2029176
28.39,28.47,1002.77,7168,1280,1792,1630720517.3352988
28.4,28.7,1002.78,7168,1280,1792,1630720518.471734
28.39,28.79,1002.77,7168,1280,1792,1630720519.6069233
