Temperature,Humidity,Pressure,PM1,PM2.5,PM10,Time
22.01,56.48,1002.13,3,4,6,1630716161.3671174
22.01,56.46,1002.07,3,4,6,1630716161.49797
22.01,56.54,1002.08,3,4,6,1630716162.624441
22.02,56.53,1002.09,3,4,6,1630716163.7508402
22.01,56.73,1002.08,3,4,6,1630716164.8799095
22.06,59.04,1002.11,3,4,6,1630716166.0099938
22.12,60.42,1002.1,3,4,6,1630716167.1363711
22.14,60.05,1002.13,3,4,6,1630716168.2626462
22.17,59.86,1002.08,3,4,6,1630716169.389107
22.22,61.17,1002.14,3,4,6,1630716170.5169537
23.74,79.2,1002.13,3,4,6,1630716171.6478746
23.74,84.06,1002.16,3,4,6,1630716172.776858
23.06,84.33,1002.13,3,4,6,1630716173.9058194
22.99,85.43,1002.12,3,4,6,1630716175.0325046
22.99,86.04,1002.1,3,4,6,1630716176.1643965
22.89,86.06,1002.11,3,4,6,1630716177.2935467
22.77,85.71,1002.14,3,4,6,1630716178.422585
22.56,82.57,1002.71,3,4,6,1630716179.5501862
22.87,80.8,1002.07,3,4,6,1630716180.6791692
22.92,72.13,1002.28,3,4,6,1630716181.8051374
23.15,74.53,1002.15,3,4,6,1630716182.9342508
23.11,67.34,1002.08,3,4,6,1630716184.0638707
23.24,70.82,1002.12,3,4,6,1630716185.1929207
23.34,72.02,1002.14,3,4,6,1630716186.3250222
23.32,68.83,1002.13,3,4,6,1630716187.451137
23.31,65.45,1002.11,3,4,6,1630716188.5785005
24.31,79.69,1002.16,3,4,6,1630716189.705292
25.3,88.42,1002.14,3,4,6,1630716190.831748
